best_lr,threshold,test_macro_f1,test_macro_recall,test_recall_pos,test_roc_auc,test_accuracy,test_brier,test_ece,model,split_seed,n_features,fields
0.01,0.5,0.6007688139233534,0.6175486358820734,0.7207666181465308,0.6136758861708453,0.6007720438845997,0.2294615269527557,0.13831425131431468,tags_drop_cta,3,28,claim+evidence+theme
0.01,0.4,0.6527838398584352,0.682147108439027,0.8546821931101407,0.8036511063048873,0.6541040227549777,0.18874690454628124,0.1726024664848789,tags_drop_evidence,3,31,claim+cta+theme
0.01,0.4,0.9084837908475887,0.9142788733100506,0.9251328777524678,0.9573875977328257,0.9179727254223489,0.138339860278949,0.2823836927902847,tags_full,4,36,claim+cta+evidence+theme
0.001,0.5,0.8138570955950895,0.8474448253056124,0.7740318906605923,0.8877087288272388,0.8224608182373295,0.24694617558642998,0.31768138748148644,tags_theme_only,4,11,theme
0.003,0.45,0.8750075137366125,0.8870240514178976,0.8846621108580106,0.886877175436118,0.8862202320374517,0.23569785971786647,0.3362944355626849,tags_claim_only,4,12,claim
0.01,0.35,0.8958499207657584,0.904692370461323,0.9084282460136675,0.9200699993463588,0.9059637695908813,0.17278940570408238,0.27397210265675404,tags_cta_only,4,8,cta
0.001,0.5,0.5845426114009147,0.6579324275600419,0.44236902050113897,0.6794242194435054,0.5845715448809281,0.24576200809689902,0.16574622916151038,tags_evidence_only,4,5,evidence
0.003,0.45,0.8846556985969118,0.8986939710622044,0.8867122247532271,0.9502271930188312,0.8946163240382659,0.20278106377747285,0.37929658198304134,tags_style_only_no_theme,4,25,claim+cta+evidence
0.01,0.4,0.8671856869317182,0.8853121675420539,0.8622627182991648,0.9480134111236607,0.8774679421941787,0.15373179301159223,0.2345869203068047,tags_drop_claim,4,24,cta+evidence+theme
0.01,0.5,0.8498528160994104,0.8735105005462238,0.8331055429005315,0.9485275561293853,0.8597598208833707,0.17185978469684096,0.32377398215178105,tags_drop_cta,4,28,claim+evidence+theme
